disease,symptom
颠茄碱类植物药物中,潜在中毒
颠茄碱类植物药物中,瞳孔变形
颠茄碱类植物药物中,频发室性期前收缩
颠茄碱类植物药物中,药物中毒
颠茄碱类植物药物中,轻度中毒
大骨节病,骨骼表面向外突出
大骨节病,膝内翻膝外翻或髋内翻
大骨节病,蹒跚步态
大骨节病,指(趾)和小腿出现痉挛及隐痛
大骨节病,指节增粗
三尖瓣下移畸形,风湿性心瓣膜病
三尖瓣下移畸形,望诊无明显心前区搏动
三尖瓣下移畸形,顽固性心功能不全
三尖瓣下移畸形,肺血流量很少
三尖瓣下移畸形,收缩期和舒张期杂音
氨基甲酸酯类农药中,胸闷
氨基甲酸酯类农药中,出汗异常
氨基甲酸酯类农药中,视力障碍
氨基甲酸酯类农药中,昏迷
氨基甲酸酯类农药中,疲乏
阿斯匹林不耐受三联,呼吸异常
阿斯匹林不耐受三联,休克
阿斯匹林不耐受三联,鼻溢液
阿片中毒,惊厥
阿片中毒,牙关紧闭
阿片中毒,角弓反张
阿片中毒,呼吸衰竭
阿片中毒,衰老加快
阿米巴性阴道炎,白色念珠菌感染
阿米巴性阴道炎,脓性分泌物
阿米巴性阴道炎,阴道出血
阿米巴性阴道炎,腹泻
阿米巴性阴道炎,溃疡
阿米巴肠病,婴儿褐色或暗绿色的粘液便
阿米巴肠病,肠蠕动减少
阿米巴肠病,大便粘腻
阿米巴肠病,肠粘膜脱落
阿米巴肠病,排便不尽感
阿片类药物中毒,便秘
阿片类药物中毒,呼吸衰竭
阿片类药物中毒,瞳孔异常
阿片类药物中毒,惊厥
阿片类药物中毒,角弓反张
安眠药中毒,睡眠过度
安眠药中毒,深睡眠症
安眠药中毒,头昏想睡觉
安眠药中毒,头昏想睡觉
安眠药中毒,后脑勺疼
癌性神经肌病,手套或短袜子式浅、深感觉障碍
癌性神经肌病,全身消瘦型
慢性肾上腺皮质功能,皮质功能减退
慢性肾上腺皮质功能,巨阴症
慢性肾上腺皮质功能,皮肤色素沉着呈青铜色
慢性肾上腺皮质功能,食欲异常
慢性肾上腺皮质功能,眩晕
艾滋病,HIV感染
艾滋病,关节疼痛
艾滋病,身痛
艾滋病,脾肿大
艾滋病,肝肿大
埃及血吸虫病,贫血
埃及血吸虫病,脾肿大
埃及血吸虫病,肝肿大
埃及血吸虫病,恶心与呕吐
埃及血吸虫病,头痛
埃利希体病,恶心与呕吐
埃利希体病,头痛
埃利希体病,疲劳
埃利希体病,发热
获得性免疫缺陷综合,消瘦
获得性免疫缺陷综合,发热
获得性免疫缺陷综合,视力障碍
获得性免疫缺陷综合,淋巴结肿大
获得性免疫缺陷综合,盗汗 
阿根廷出血热,关节疼痛
阿根廷出血热,腹痛
阿根廷出血热,恶心与呕吐
阿根廷出血热,腹泻
阿根廷出血热,感觉障碍
埃博拉病毒病,发热伴出血
埃博拉病毒病,关节疼痛
埃博拉病毒病,恶心与呕吐
埃博拉病毒病,腹泻
埃博拉病毒病,昏迷
致肠细胞病变人孤儿,腹痛
致肠细胞病变人孤儿,恶心与呕吐
致肠细胞病变人孤儿,腹泻
致肠细胞病变人孤儿,疱疹
致肠细胞病变人孤儿,丘疹
卡斯钦-贝克病,关节疼痛
卡斯钦-贝克病,软骨发育不良与骨骼畸形
卡斯钦-贝克病,体型异常
卡斯钦-贝克病,肌肉萎缩
卡斯钦-贝克病,步态异常
埃可病毒疹,恶心与呕吐
埃可病毒疹,腹泻
埃可病毒疹,脑膜刺激征
埃可病毒疹,丘疹
埃可病毒疹,斑疹
空鞍综合征,垂体性闭经
空鞍综合征,蛛网膜粘连
空鞍综合征,脂肪过多
空鞍综合征,头痛
癌症伴发的精神障碍,认知功能障碍
癌症伴发的精神障碍,术后急性精神障碍
癌症伴发的精神障碍,躯体性疾病所致的精神障碍
癌症伴发的精神障碍,意识模糊
癌症伴发的精神障碍,重度痛
阿尔茨海默病性痴呆,行为动作幼稚愚蠢
阿尔茨海默病性痴呆,视空间功能受损
阿尔茨海默病性痴呆,忘性大
阿尔茨海默病性痴呆,伸舌样痴呆
阿尔茨海默病性痴呆,痴呆
氨气中毒,眼痛
氨气中毒,角膜溃疡
氨气中毒,窒息
氨气中毒,喉头痉挛
氨气中毒,惊厥
阿司匹林诱发哮喘,喉鸣声
阿司匹林诱发哮喘,支气管痉挛
阿司匹林诱发哮喘,意识朦胧状态 
阿司匹林诱发哮喘,恶心与呕吐
阿司匹林诱发哮喘,呼吸异常
原发性肾上腺皮质功,皮肤色素沉着呈青铜色
原发性肾上腺皮质功,盐类皮质激素分泌过少
原发性肾上腺皮质功,嗜盐
原发性肾上腺皮质功,阴毛脱落
原发性肾上腺皮质功,水中毒昏迷
阿洪病,趾远端呈球形
阿洪病,趾(指)环状缩窄带
阿洪病,溃疡
肾上腺皮质功能减退,心力贮备减少
